iter	Passed	Remaining
0	219	219344
1	223	111696
2	225	75085
3	227	56737
4	229	45765
5	231	38406
6	233	33156
7	238	29530
8	240	26436
9	242	23961
10	243	21925
11	245	20227
12	247	18807
13	249	17572
14	252	16562
15	254	15636
16	256	14820
17	258	14107
18	260	13453
19	262	12857
20	267	12447
21	269	11978
22	285	12135
23	288	11726
24	290	11337
25	297	11134
26	299	10795
27	301	10478
28	304	10185
29	306	9912
30	310	9717
31	330	10007
32	333	9767
33	335	9543
34	338	9326
35	346	9283
36	349	9084
37	351	8902
38	354	8725
39	358	8603
40	361	8452
41	363	8301
42	366	8163
43	393	8558
44	398	8447
45	400	8307
46	408	8277
47	410	8137
48	412	8006
49	414	7883
50	416	7759
51	419	7642
52	421	7528
53	423	7420
54	427	7350
55	430	7249
56	432	7149
57	434	7052
58	436	6958
59	438	6866
60	440	6774
61	443	6708
62	445	6619
63	446	6536
64	448	6456
65	450	6377
66	452	6300
67	454	6224
68	458	6181
69	460	6112
70	461	6042
71	463	5974
72	465	5909
73	467	5844
74	468	5780
75	472	5739
76	474	5682
77	475	5625
78	477	5568
79	479	5513
80	480	5451
81	482	5398
82	484	5347
83	487	5320
84	489	5265
85	490	5217
86	492	5170
87	494	5125
88	496	5079
89	497	5035
90	501	5007
91	503	4967
92	505	4928
93	507	4887
94	508	4848
95	510	4810
96	512	4772
97	515	4741
98	517	4712
99	519	4677
100	521	4646
101	523	4606
102	525	4572
103	528	4551
104	532	4538
105	534	4508
106	536	4480
107	538	4450
108	540	4419
109	542	4388
110	544	4357
111	546	4333
112	548	4303
113	550	4274
114	551	4246
115	553	4214
116	554	4187
117	556	4160
118	560	4146
119	562	4122
120	563	4095
121	565	4070
122	567	4045
123	569	4020
124	570	3995
125	572	3971
126	575	3955
127	577	3931
128	578	3908
129	580	3886
130	582	3863
131	584	3841
132	585	3818
133	588	3805
134	591	3789
135	593	3767
136	594	3747
137	596	3726
138	598	3706
139	600	3686
140	601	3666
141	604	3650
142	606	3634
143	608	3616
144	610	3598
145	612	3580
146	613	3561
147	615	3545
148	618	3533
149	621	3520
150	622	3502
151	624	3484
152	626	3467
153	628	3451
154	629	3429
155	631	3416
156	635	3411
157	637	3395
158	638	3379
159	640	3364
160	642	3350
161	644	3334
162	646	3318
163	649	3311
164	651	3296
165	653	3281
166	654	3266
167	656	3252
168	658	3237
169	660	3223
170	661	3209
171	665	3203
172	667	3189
173	669	3175
174	670	3162
175	672	3149
176	674	3135
177	676	3122
178	679	3115
179	680	3101
180	682	3088
181	684	3075
182	686	3062
183	687	3050
184	689	3038
185	691	3025
186	694	3020
187	696	3008
188	698	2996
189	700	2984
190	701	2972
191	703	2960
192	705	2948
193	706	2937
194	710	2934
195	712	2923
196	714	2912
197	716	2901
198	718	2890
199	720	2880
200	721	2869
201	725	2865
202	727	2855
203	729	2844
204	730	2834
205	732	2824
206	734	2813
207	736	2802
208	737	2792
209	740	2787
210	742	2777
211	744	2767
212	746	2757
213	748	2747
214	749	2737
215	751	2727
216	754	2723
217	756	2714
218	760	2710
219	773	2740
220	790	2785
