iter	Passed	Remaining
0	144	144056
1	147	73477
2	150	49876
3	152	37990
4	157	31411
5	160	26616
6	162	23097
7	165	20460
8	169	18704
9	172	17072
10	174	15684
11	176	14523
12	179	13648
13	182	12842
14	184	12140
15	186	11498
16	190	10996
17	192	10506
18	194	10057
19	196	9636
20	198	9265
21	201	8954
22	203	8642
23	205	8361
24	207	8098
25	210	7886
26	213	7709
27	215	7491
28	217	7292
29	219	7104
30	222	6950
31	224	6784
32	226	6650
33	228	6502
34	230	6368
35	239	6417
36	242	6299
37	258	6554
38	262	6479
39	282	6778
40	284	6664
41	287	6551
42	290	6455
43	315	6849
44	317	6743
45	321	6669
46	324	6570
47	326	6477
48	329	6404
49	335	6369
50	337	6280
51	339	6195
52	342	6111
53	349	6116
54	351	6033
55	362	6114
56	370	6121
57	377	6127
58	382	6101
59	391	6126
60	393	6058
61	395	5990
62	403	6004
63	406	5937
64	416	5986
65	417	5911
66	422	5878
67	424	5817
68	426	5750
69	429	5700
70	436	5711
71	438	5653
72	440	5596
73	442	5538
74	449	5540
75	451	5489
76	453	5436
77	456	5390
78	458	5341
79	460	5294
80	462	5245
81	466	5217
82	470	5201
83	481	5248
84	483	5206
85	486	5168
86	495	5198
87	501	5199
88	503	5156
89	505	5112
90	508	5077
91	512	5053
92	518	5057
93	520	5015
94	522	4975
95	524	4938
96	530	4937
97	532	4898
98	534	4866
99	542	4882
100	544	4848
101	547	4818
102	549	4789
103	555	4786
104	558	4762
105	560	4730
106	564	4712
107	569	4702
108	573	4687
109	578	4680
110	579	4642
111	581	4612
112	587	4607
113	590	4587
114	592	4562
115	594	4534
116	598	4515
117	600	4486
118	601	4452
119	603	4422
120	607	4413
121	611	4403
122	618	4409
123	622	4400
124	625	4375
125	626	4347
126	629	4325
127	633	4315
128	635	4293
129	637	4265
130	641	4258
131	645	4246
132	654	4267
133	662	4279
134	665	4262
135	666	4235
136	668	4214
137	670	4191
138	673	4169
139	676	4158
140	678	4134
141	680	4113
142	682	4091
143	684	4070
144	686	4049
145	689	4033
146	693	4026
147	695	4006
148	697	3984
149	700	3969
150	702	3950
151	704	3929
152	705	3907
153	707	3888
154	711	3876
155	713	3857
156	715	3839
157	717	3821
158	718	3801
159	720	3782
160	721	3760
161	724	3748
162	727	3733
163	729	3716
164	731	3702
165	733	3685
166	736	3673
167	739	3660
168	743	3655
169	746	3644
170	748	3627
171	750	3614
172	755	3609
173	757	3594
174	759	3579
175	760	3561
176	762	3545
177	765	3536
178	768	3526
179	770	3508
180	772	3494
181	774	3479
182	776	3467
183	780	3460
184	782	3447
185	784	3433
186	785	3415
187	787	3402
188	789	3388
189	791	3373
190	795	3368
191	797	3356
192	800	3345
193	802	3332
194	803	3318
195	806	3309
196	809	3298
197	811	3285
198	813	3272
199	815	3262
200	819	3259
201	821	3245
202	823	3233
203	825	3221
204	830	3220
205	833	3212
206	835	3200
207	837	3188
208	839	3177
209	845	3181
210	847	3168
211	849	3156
212	851	3145
213	855	3141
214	857	3131
215	859	3119
216	863	3117
217	867	3113
218	869	3102
219	871	3090
220	876	3088
221	880	3086
222	882	3075
223	883	3061
224	886	3052
225	890	3048
226	892	3037
227	899	3046
228	902	3038
229	914	3062
230	916	3052
231	942	3121
232	949	3123
233	950	3112
234	959	3121
235	961	3112
236	966	3112
237	972	3112
238	974	3101
239	976	3090
240	982	3093
241	986	3088
242	989	3081
243	990	3069
244	993	3060
245	995	3049
246	998	3043
247	1000	3034
248	1005	3031
249	1006	3020
250	1008	3010
251	1010	2999
252	1013	2993
253	1015	2983
254	1018	2976
255	1021	2968
256	1023	2960
257	1026	2953
258	1028	2943
259	1031	2935
260	1034	2930
261	1037	2923
262	1039	2913
263	1042	2905
264	1046	2902
265	1049	2895
266	1051	2886
267	1053	2876
268	1059	2880
269	1062	2871
270	1064	2862
271	1065	2853
272	1069	2848
273	1072	2841
274	1075	2834
275	1077	2825
276	1080	2819
277	1082	2811
278	1085	2804
279	1087	2796
280	1089	2787
281	1092	2781
282	1094	2772
283	1096	2764
284	1099	2758
285	1101	2748
286	1103	2742
287	1106	2736
288	1108	2727
289	1110	2719
290	1113	2712
291	1115	2705
292	1118	2698
293	1120	2690
294	1122	2682
295	1124	2674
296	1127	2669
297	1131	2664
298	1134	2658
299	1136	2651
300	1138	2643
301	1140	2636
302	1143	2629
303	1145	2621
304	1147	2615
305	1150	2609
306	1152	2602
307	1155	2595
308	1156	2586
309	1158	2578
310	1160	2572
311	1163	2566
312	1165	2558
313	1167	2551
314	1169	2543
315	1172	2538
316	1174	2530
317	1176	2522
318	1177	2514
319	1182	2512
320	1185	2507
321	1187	2500
322	1189	2493
323	1196	2495
324	1198	2488
325	1200	2482
326	1210	2490
327	1211	2482
328	1213	2474
329	1215	2468
330	1220	2466
331	1222	2460
332	1224	2452
333	1226	2445
334	1233	2447
335	1235	2440
336	1236	2433
337	1238	2425
338	1240	2418
339	1244	2415
340	1246	2408
341	1248	2401
342	1249	2393
343	1252	2389
344	1254	2382
345	1256	2375
346	1258	2368
347	1259	2360
348	1266	2362
349	1268	2356
350	1270	2349
351	1272	2342
352	1274	2335
353	1278	2332
354	1280	2326
355	1281	2319
356	1283	2312
357	1285	2305
358	1288	2300
359	1290	2294
360	1292	2288
361	1294	2281
362	1296	2274
363	1301	2274
364	1303	2268
365	1305	2261
366	1307	2254
367	1309	2249
368	1314	2247
369	1316	2240
370	1317	2233
371	1319	2226
372	1320	2220
373	1323	2214
374	1326	2210
375	1327	2203
376	1329	2196
377	1331	2191
378	1336	2190
379	1339	2185
380	1341	2179
381	1346	2177
382	1351	2177
383	1354	2172
384	1356	2166
385	1358	2161
386	1361	2157
387	1364	2151
388	1366	2146
389	1368	2140
390	1371	2136
391	1373	2130
392	1376	2125
393	1378	2119
394	1379	2113
395	1381	2107
396	1384	2103
397	1386	2097
398	1389	2093
399	1393	2090
400	1396	2085
401	1398	2080
402	1400	2074
403	1402	2068
404	1406	2065
405	1408	2060
406	1410	2055
407	1413	2051
408	1415	2045
409	1417	2040
410	1419	2034
411	1424	2032
412	1426	2028
413	1429	2022
414	1430	2017
415	1433	2012
416	1437	2009
417	1439	2004
418	1441	1998
419	1443	1993
420	1446	1988
421	1448	1983
422	1449	1977
423	1452	1973
424	1455	1968
425	1457	1963
426	1459	1959
427	1461	1953
428	1464	1948
429	1466	1943
430	1468	1938
431	1471	1934
432	1476	1933
433	1478	1928
434	1480	1923
435	1482	1918
436	1486	1914
437	1488	1909
438	1489	1904
439	1492	1899
440	1496	1897
441	1498	1892
442	1500	1887
443	1503	1882
444	1505	1877
445	1507	1872
446	1509	1867
447	1511	1862
448	1513	1856
449	1515	1852
450	1517	1847
451	1519	1842
452	1521	1836
453	1554	1869
454	1556	1864
455	1558	1859
456	1561	1855
457	1567	1855
458	1570	1851
459	1573	1847
460	1576	1843
461	1580	1840
462	1581	1834
463	1584	1830
464	1587	1826
465	1589	1821
466	1591	1816
467	1594	1812
468	1596	1807
469	1598	1802
470	1600	1797
471	1604	1795
472	1606	1790
473	1608	1784
474	1610	1779
475	1612	1774
476	1614	1770
477	1617	1766
478	1619	1761
479	1620	1755
480	1622	1750
481	1627	1748
482	1629	1744
483	1631	1739
484	1633	1734
485	1635	1730
486	1639	1726
487	1641	1722
488	1643	1716
489	1644	1711
490	1647	1707
491	1651	1705
492	1655	1702
493	1656	1697
494	1658	1692
495	1661	1688
496	1666	1686
497	1668	1681
498	1670	1676
499	1671	1671
500	1673	1666
501	1677	1663
502	1679	1659
503	1681	1654
504	1682	1649
505	1684	1644
506	1687	1641
507	1690	1637
508	1692	1633
509	1695	1628
510	1697	1624
511	1699	1619
512	1701	1615
513	1704	1611
514	1707	1607
515	1711	1605
516	1715	1603
517	1717	1598
518	1719	1593
519	1721	1588
520	1723	1585
521	1726	1581
522	1728	1576
523	1730	1571
524	1731	1566
525	1733	1561
526	1737	1559
527	1740	1555
528	1742	1551
529	1744	1546
530	1746	1542
531	1748	1537
532	1750	1533
533	1753	1530
534	1754	1525
535	1756	1520
536	1758	1516
537	1762	1513
538	1765	1510
539	1767	1505
540	1769	1501
541	1771	1496
542	1774	1493
543	1778	1490
544	1780	1486
545	1781	1481
546	1783	1476
547	1785	1472
548	1791	1472
549	1794	1467
550	1799	1466
551	1801	1462
552	1803	1458
553	1806	1454
554	1808	1450
555	1812	1447
556	1815	1443
557	1820	1442
558	1823	1438
559	1824	1433
560	1826	1429
561	1828	1425
562	1834	1423
563	1836	1419
564	1838	1415
565	1839	1410
566	1841	1406
567	1846	1404
568	1849	1400
569	1850	1396
570	1852	1391
571	1855	1388
572	1858	1385
573	1860	1380
574	1862	1376
575	1863	1372
576	1865	1367
577	1869	1365
578	1872	1361
579	1874	1357
580	1876	1353
581	1878	1348
582	1880	1345
583	1883	1341
584	1885	1337
585	1887	1333
586	1889	1329
587	1891	1325
588	1895	1322
589	1897	1318
590	1899	1314
591	1901	1310
592	1909	1310
593	1911	1306
594	1913	1302
595	1915	1298
596	1919	1295
597	1922	1292
598	1924	1288
599	1926	1284
600	1929	1280
601	1933	1278
602	1936	1274
603	1938	1270
604	1939	1266
605	1942	1262
606	1945	1259
607	1948	1256
608	1950	1252
609	1951	1247
610	1954	1244
611	1957	1241
612	1960	1237
613	1962	1233
614	1964	1229
615	1966	1226
616	2006	1245
617	2010	1242
618	2012	1238
619	2015	1235
620	2017	1231
621	2019	1227
622	2022	1223
623	2023	1219
624	2025	1215
625	2027	1211
626	2032	1208
627	2034	1205
628	2036	1201
629	2038	1197
630	2072	1211
631	2074	1207
632	2076	1203
633	2078	1200
634	2081	1196
635	2083	1192
636	2085	1188
637	2086	1184
638	2088	1180
639	2091	1176
640	2094	1172
641	2096	1168
642	2097	1164
643	2100	1160
644	2102	1157
645	2105	1153
646	2107	1149
647	2109	1145
648	2110	1141
649	2114	1138
650	2116	1134
651	2118	1130
652	2120	1126
653	2121	1122
654	2123	1118
655	2127	1115
656	2130	1112
657	2132	1108
658	2133	1104
659	2135	1100
660	2139	1097
661	2142	1093
662	2143	1089
663	2145	1085
664	2147	1081
665	2153	1080
666	2155	1075
667	2156	1071
668	2158	1067
669	2160	1063
670	2166	1062
671	2168	1058
672	2169	1054
673	2171	1050
674	2173	1046
675	2176	1043
676	2179	1039
677	2181	1035
678	2182	1031
679	2184	1027
680	2188	1025
681	2191	1021
682	2193	1017
683	2194	1014
684	2196	1010
685	2201	1007
686	2203	1003
687	2205	999
688	2206	996
689	2208	992
690	2213	989
691	2215	985
692	2217	982
693	2219	978
694	2224	976
695	2227	973
696	2229	969
697	2231	965
698	2232	961
699	2234	957
700	2237	954
701	2239	950
702	2241	946
703	2243	943
704	2245	939
705	2248	936
706	2251	932
707	2253	929
708	2255	925
709	2256	921
710	2258	918
711	2261	914
712	2263	911
713	2265	907
714	2268	904
715	2270	900
716	2274	897
717	2276	894
718	2278	890
719	2280	886
720	2282	883
721	2285	880
722	2287	876
723	2290	873
724	2291	869
725	2293	865
726	2296	862
727	2299	859
728	2302	855
729	2303	852
730	2306	848
731	2308	845
732	2311	841
733	2314	838
734	2315	834
735	2317	831
736	2319	827
737	2323	824
738	2326	821
739	2328	818
740	2330	814
741	2332	811
742	2335	807
743	2340	805
