iter	Passed	Remaining
0	3880	3876266
1	3884	1938203
2	3886	1291631
3	3888	968324
4	3891	774354
5	3897	645673
6	3901	553397
7	3905	484277
8	3908	430323
9	3910	387124
10	3912	351809
11	3917	322540
12	3921	297753
13	3924	276366
14	3926	257843
15	3929	241646
16	3931	227343
17	3934	214625
18	3941	203498
19	3944	193275
20	3946	183999
21	3949	175564
22	3955	168028
23	3958	160969
24	3960	154467
25	3962	148456
26	4010	144521
27	4023	139672
28	4025	134798
29	4028	130245
30	4030	125987
31	4036	122097
32	4039	118363
33	4041	114836
34	4044	111516
35	4048	108401
36	4058	105640
37	4062	102837
38	4067	100226
39	4070	97681
40	4072	95258
41	4076	92990
42	4081	90847
43	4084	88749
44	4086	86729
45	4088	84798
46	4090	82949
47	4097	81257
48	4099	79567
49	4102	77943
50	4104	76381
51	4107	74878
52	4110	73450
53	4112	72047
54	4117	70742
55	4119	69440
56	4121	68182
57	4126	67026
58	4130	65882
59	4133	64753
60	4135	63655
61	4141	62655
62	4146	61665
63	4148	60671
64	4150	59702
65	4156	58821
66	4161	57947
67	4163	57063
68	4165	56208
69	4168	55381
70	4173	54611
71	4176	53830
72	4178	53063
73	4180	52318
74	4184	51608
75	4188	50919
76	4190	50227
77	4192	49552
78	4195	48907
79	4199	48295
80	4202	47682
81	4204	47072
82	4205	46465
83	4207	45885
84	4209	45318
85	4218	44834
86	4221	44298
87	4223	43768
88	4226	43259
89	4232	42795
90	4234	42301
91	4237	41818
92	4238	41339
93	4240	40871
94	4242	40412
95	4244	39968
96	4246	39528
97	4247	39096
98	4249	38676
99	4251	38262
100	4253	37859
101	4255	37462
102	4257	37073
103	4259	36693
104	4260	36319
105	4262	35952
106	4264	35592
107	4266	35240
108	4268	34893
109	4270	34553
110	4274	34235
111	4277	33911
112	4280	33596
113	4282	33281
114	4285	32977
115	4287	32675
116	4289	32376
117	4298	32128
118	4305	31873
119	4310	31608
120	4313	31333
121	4315	31058
122	4317	30784
123	4320	30520
124	4323	30266
125	4325	30006
126	4327	29745
127	4329	29492
128	4331	29243
129	4333	29004
130	4338	28781
131	4340	28543
132	4342	28309
133	4344	28077
134	4346	27848
135	4347	27621
136	4349	27398
137	4352	27184
138	4354	26973
139	4356	26763
140	4359	26557
141	4360	26348
142	4362	26145
143	4364	25944
144	4368	25760
145	4370	25566
146	4372	25374
147	4374	25184
148	4376	24997
149	4379	24816
150	4382	24640
151	4386	24469
152	4389	24299
153	4391	24122
154	4392	23948
155	4394	23775
156	4396	23606
157	4400	23450
158	4403	23291
159	4405	23127
160	4406	22962
161	4408	22802
162	4409	22644
163	4416	22511
164	4418	22359
165	4420	22206
166	4421	22055
167	4423	21906
168	4425	21758
169	4427	21616
170	4430	21480
171	4432	21337
172	4434	21196
173	4436	21058
174	4437	20920
175	4439	20784
176	4441	20650
177	4443	20518
178	4444	20387
179	4446	20257
180	4448	20128
181	4450	20001
182	4451	19875
183	4453	19750
184	4455	19626
185	4456	19505
186	4458	19384
187	4460	19264
188	4461	19146
189	4463	19030
190	4465	18915
191	4467	18801
192	4469	18688
193	4471	18577
194	4473	18467
195	4475	18358
196	4477	18250
197	4481	18154
198	4484	18049
199	4485	17943
200	4490	17849
201	4492	17747
202	4494	17647
203	4496	17545
204	4498	17444
205	4499	17344
206	4502	17247
207	4505	17154
208	4506	17057
209	4508	16962
210	4511	16868
211	4512	16774
212	4515	16682
213	4517	16594
214	4521	16507
215	4524	16422
216	4527	16336
217	4529	16248
218	4536	16176
219	4555	16152
220	4558	16067
221	4560	15982
222	4562	15897
223	4568	15826
224	4570	15743
225	4572	15661
226	4575	15580
227	4577	15499
228	4580	15422
229	4582	15342
230	4585	15263
231	4587	15185
232	4589	15108
233	4591	15031
234	4594	14955
235	4596	14881
236	4607	14834
237	4610	14760
238	4615	14697
239	4618	14623
240	4622	14556
241	4624	14484
242	4626	14413
243	4629	14344
244	4632	14277
245	4635	14207
246	4637	14138
247	4645	14086
248	4647	14017
249	4672	14018
250	4675	13950
251	4679	13891
252	4684	13830
253	4686	13764
254	4688	13698
255	4693	13639
256	4696	13577
257	4698	13513
258	4701	13451
259	4704	13390
260	4712	13343
261	4715	13281
262	4717	13219
263	4719	13157
264	4723	13101
265	4726	13041
266	4728	12981
267	4730	12921
268	4732	12861
269	4735	12802
270	4737	12744
271	4743	12695
272	4784	12740
273	4786	12683
274	4790	12629
275	4792	12572
276	4795	12516
277	4797	12460
278	4799	12404
279	4802	12350
280	4807	12300
281	4809	12245
282	4811	12190
283	4822	12159
284	4827	12110
285	4875	12171
286	4877	12118
287	4880	12064
288	4883	12014
289	4886	11964
290	4889	11911
291	4891	11859
292	4894	11809
293	4896	11758
294	4900	11712
295	4905	11666
296	4952	11722
297	4954	11671
298	4957	11621
299	4959	11571
300	4961	11521
301	4964	11473
302	4967	11426
303	4969	11377
304	4971	11329
305	4974	11281
306	4978	11238
307	5013	11264
308	5021	11229
309	5023	11182
310	5031	11147
311	5034	11100
312	5036	11054
313	5038	11007
314	5040	10961
315	5049	10929
316	5051	10883
317	5053	10839
318	5056	10793
319	5059	10752
320	5076	10737
321	5079	10695
322	5082	10651
323	5084	10608
324	5086	10564
325	5089	10521
326	5092	10480
327	5094	10438
328	5097	10395
329	5099	10353
330	5109	10327
331	5121	10304
332	5123	10262
333	5125	10220
334	5127	10179
335	5130	10138
336	5136	10105
337	5139	10066
338	5142	10026
339	5144	9986
340	5146	9946
341	5151	9911
342	5154	9872
343	5156	9833
344	5192	9858
345	5194	9818
346	5200	9785
347	5202	9747
348	5205	9709
349	5207	9671
350	5210	9633
351	5216	9603
352	5219	9565
353	5221	9528
354	5223	9491
355	5226	9453
356	5250	9456
357	5252	9419
358	5259	9391
359	5264	9359
360	5268	9325
361	5270	9289
362	5272	9252
363	5274	9216
364	5284	9193
365	5286	9157
366	5289	9123
367	5293	9091
368	5300	9064
369	5302	9028
370	5304	8993
371	5309	8963
372	5313	8931
373	5315	8897
374	5317	8862
375	5319	8828
376	5325	8799
377	5329	8770
378	5332	8738
379	5335	8704
380	5339	8674
381	5342	8643
382	5344	8609
383	5346	8576
384	5348	8543
385	5350	8510
386	5354	8480
387	5356	8448
388	5358	8416
389	5360	8383
390	5363	8353
391	5365	8322
392	5370	8295
393	5376	8269
394	5378	8238
395	5380	8207
396	5385	8179
397	5387	8149
398	5391	8121
399	5393	8090
400	5396	8060
401	5403	8037
402	5406	8008
403	5408	7978
404	5410	7948
405	5412	7918
406	5420	7897
407	5422	7867
408	5424	7838
409	5426	7809
410	5433	7786
411	5437	7760
412	5439	7731
413	5448	7712
414	5452	7685
415	5455	7658
416	5457	7630
417	5460	7603
418	5466	7580
419	5469	7552
420	5471	7524
421	5473	7497
422	5482	7477
